,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
15,"21,815","12,408",112,0,"17,031 (78.1%)",Muslim bumiputra 9.49%; Non-Muslim bumiputra 15.38%; Chinese 73.74%; Others 1.39%,N16,LUYANG (P172),state,Sabah
16,"23,829","4,610",342,0,"17,871 (75%)",Muslim bumiputra 65.33%; Non-Muslim bumiputra 11.21%; Chinese 22.61%; Others 0.85%,N17,TANJONG ARU (P173),state,Sabah
17,"17,483",208,294,0,"14,021 (80.2%)",Muslim bumiputra 74.56%; Non-Muslim bumiputra 18.62%; Chinese 5.63%; Others 1.18%,N18,PETAGAS (P173),state,Sabah
18,"33,675","13,250",276,0,"27,557 (81.8%)",Muslim bumiputra 17.43%; Non-Muslim bumiputra 33.55%; Chinese 47.07%; Others 1.95%,N19,KAPAYAN (P174),state,Sabah
19,"19,456","4,442",202,0,"16,100 (82.8%)",Muslim bumiputra 7.93%; Non-Muslim bumiputra 83.35%; Chinese 7.43%; Others 1.29%,N20,MOYOG (P174),state,Sabah
20,"23,102","2,862",322,0,"19,585 (84.8%)",Muslim bumiputra 67.6%; Non-Muslim bumiputra 26.04%; Chinese 5.77%; Others 0.59%,N21,KAWANG (P175),state,Sabah
21,"20,484","2,108",227,0,"17,217 (84.1%)",Muslim bumiputra 65.7%; Non-Muslim bumiputra 24.49%; Chinese 9.36%; Others 0.44%,N22,PANTAI MANIS (P175),state,Sabah
22,"16,239",795,228,0,"13,953 (85.9%)",Muslim bumiputra 65.86%; Non-Muslim bumiputra 30.22%; Chinese 3.61%; Others 0.31%,N23,BONGAWAN (P176),state,Sabah
23,"13,379","2,403",182,0,"11,565 (86.4%)",Muslim bumiputra 67.36%; Non-Muslim bumiputra 29.58%; Chinese 2.68%; Others 0.38%,N24,MEMBAKUT (P176),state,Sabah
24,"16,948","2,336",393,0,"14,187 (83.7%)",Muslim bumiputra 73.29%; Non-Muslim bumiputra 15.55%; Chinese 10.69%; Others 0.47%,N25,KLIAS (P177),state,Sabah
25,"16,394","3,545",439,0,"14,056 (85.7%)",Muslim bumiputra 58.41%; Non-Muslim bumiputra 37.03%; Chinese 4.12%; Others 0.44%,N26,KUALA PENYU (P177),state,Sabah
26,"15,009","2,935",286,0,"12,420 (82.8%)",Muslim bumiputra 89.11%; Non-Muslim bumiputra 7.3%; Chinese 3.19%; Others 0.4%,N27,LUMADAN (P178),state,Sabah
27,"16,873",760,204,0,"13,065 (77.4%)",Muslim bumiputra 64.84%; Non-Muslim bumiputra 30.31%; Chinese 4.22%; Others 0.62%,N28,SINDUMIN (P178),state,Sabah
28,"14,864",255,325,0,"11,070 (74.5%)",Muslim bumiputra 39.32%; Non-Muslim bumiputra 59.43%; Chinese 0.4%; Others 0.85%,N29,KUNDASANG (P179),state,Sabah
29,"13,517","3,782",155,0,"10,928 (80.8%)",Muslim bumiputra 46.61%; Non-Muslim bumiputra 48.2%; Chinese 4.32%; Others 0.87%,N30,KARANAAN (P179),state,Sabah
30,"15,325","2,066",234,0,"11,905 (77.7%)",Muslim bumiputra 34.91%; Non-Muslim bumiputra 63.03%; Chinese 0.67%; Others 1.39%,N31,PAGINATAN (P179),state,Sabah
31,"16,255","1,037",118,0,"13,322 (82%)",Muslim bumiputra 12.59%; Non-Muslim bumiputra 84.74%; Chinese 1.18%; Others 1.49%,N32,TAMBUNAN (P180),state,Sabah
32,"17,761",165,190,0,"13,984 (78.7%)",Muslim bumiputra 27.01%; Non-Muslim bumiputra 62.44%; Chinese 9.56%; Others 0.99%,N33,BINGKOR (P180),state,Sabah
33,"17,161","1,382",154,0,"13,610 (79.3%)",Muslim bumiputra 43.71%; Non-Muslim bumiputra 40.32%; Chinese 14.84%; Others 1.14%,N34,LIAWAN (P180),state,Sabah
34,"13,996",293,222,0,"10,986 (78.5%)",Muslim bumiputra 30.32%; Non-Muslim bumiputra 53.52%; Chinese 15.55%; Others 0.61%,N35,MELALAP (P181),state,Sabah
35,"15,186",895,410,0,"12,030 (79.2%)",Muslim bumiputra 25.89%; Non-Muslim bumiputra 68.49%; Chinese 5.21%; Others 0.41%,N36,KEMABONG (P181),state,Sabah
36,"19,121","4,485",350,0,"15,503 (81.1%)",Muslim bumiputra 25.83%; Non-Muslim bumiputra 71.82%; Chinese 1.73%; Others 0.63%,N37,SOOK (P182),state,Sabah
37,"12,256","2,072",228,0,"9,443 (77%)",Muslim bumiputra 21.84%; Non-Muslim bumiputra 77.22%; Chinese 0.64%; Others 0.29%,N38,NABAWAN (P182),state,Sabah
38,"11,703","1,521",428,0,"8,882 (75.9%)",Muslim bumiputra 56.91%; Non-Muslim bumiputra 42.06%; Chinese 0.48%; Others 0.56%,N39,SUGUT (P183),state,Sabah
39,"16,806","2,600",247,0,"12,733 (75.8%)",Muslim bumiputra 52.06%; Non-Muslim bumiputra 45.8%; Chinese 1.09%; Others 1.05%,N40,LABUK (P183),state,Sabah
40,"12,460",598,229,0,"9,493 (76.2%)",Muslim bumiputra 67.66%; Non-Muslim bumiputra 10.99%; Chinese 20.93%; Others 0.42%,N41,GUM-GUM (P184),state,Sabah
41,"35,454","2,184",525,0,"27,752 (78.3%)",Muslim bumiputra 79.97%; Non-Muslim bumiputra 4.45%; Chinese 14.9%; Others 0.69%,N42,SUNGAI SIBUGA (P184),state,Sabah
42,"16,522","2,035",337,0,"12,304 (74.5%)",Muslim bumiputra 75.44%; Non-Muslim bumiputra 3.92%; Chinese 20.03%; Others 0.6%,N43,SEKONG (P185),state,Sabah
43,"16,052","3,848",267,0,"11,724 (73%)",Muslim bumiputra 54.37%; Non-Muslim bumiputra 4.25%; Chinese 40.32%; Others 1.05%,N44,KARAMUNTING (P185),state,Sabah
44,"25,285","6,647",256,0,"18,100 (71.6%)",Muslim bumiputra 42.65%; Non-Muslim bumiputra 7.12%; Chinese 48.86%; Others 1.37%,N45,ELOPURA (P186),state,Sabah
45,"14,492","1,816",196,0,"10,567 (72.9%)",Muslim bumiputra 46.09%; Non-Muslim bumiputra 3.26%; Chinese 50.05%; Others 0.6%,N46,TANJONG PAPAT (P186),state,Sabah
46,"17,875","4,121",408,0,"14,093 (78.8%)",Muslim bumiputra 58.46%; Non-Muslim bumiputra 40.38%; Chinese 0.48%; Others 0.68%,N47,KUAMUT (P187),state,Sabah
47,"10,855","1,628",253,0,"8,163 (75.2%)",Muslim bumiputra 95.56%; Non-Muslim bumiputra 3.57%; Chinese 0.68%; Others 0.19%,N48,SUKAU (P187),state,Sabah
48,"17,773","1,001",352,0,"12,976 (73%)",Muslim bumiputra 77.88%; Non-Muslim bumiputra 13.38%; Chinese 8.11%; Others 0.64%,N49,TUNGKU (P188),state,Sabah
49,"28,658","2,932",432,0,"20,834 (72.7%)",Muslim bumiputra 75.23%; Non-Muslim bumiputra 8.26%; Chinese 15.48%; Others 1.03%,N50,LAHAD DATU (P188),state,Sabah
50,"14,511",268,223,0,"10,413 (71.8%)",Muslim bumiputra 91.45%; Non-Muslim bumiputra 5.02%; Chinese 2.96%; Others 0.57%,N51,KUNAK (P188),state,Sabah
51,"13,984","4,926",324,0,"9,868 (70.6%)",Muslim bumiputra 98.53%; Non-Muslim bumiputra 1.34%; Chinese 0.03%; Others 0.09%,N52,SULABAYAN (P189),state,Sabah
52,"14,399","5,301",244,0,"10,514 (73%)",Muslim bumiputra 93.78%; Non-Muslim bumiputra 1.8%; Chinese 3.94%; Others 0.47%,N53,SENALLANG (P189),state,Sabah
53,"19,865","7,851",381,0,"14,224 (71.6%)",Muslim bumiputra 96.86%; Non-Muslim bumiputra 1.82%; Chinese 0.95%; Others 0.36%,N54,BUGAYA (P189),state,Sabah
54,"14,541",174,252,0,"10,669 (73.4%)",Muslim bumiputra 85.41%; Non-Muslim bumiputra 7.61%; Chinese 6.18%; Others 0.8%,N55,BALUNG (P190),state,Sabah
55,"18,978","1,787",290,0,"13,841 (72.9%)",Muslim bumiputra 81.88%; Non-Muslim bumiputra 3.22%; Chinese 14.45%; Others 0.45%,N56,APAS (P190),state,Sabah
56,"26,400","9,383",285,0,"19,352 (73.3%)",Muslim bumiputra 31.88%; Non-Muslim bumiputra 4.64%; Chinese 62.38%; Others 1.1%,N57,SRI TANJONG (P190),state,Sabah
57,"20,634","2,150",275,0,"15,263 (74%)",Muslim bumiputra 77.4%; Non-Muslim bumiputra 5.02%; Chinese 16.56%; Others 1.03%,N58,MEROTAI (P191),state,Sabah
58,"23,951","1,986",451,0,"17,335 (72.4%)",Muslim bumiputra 89.08%; Non-Muslim bumiputra 7.28%; Chinese 2.79%; Others 0.86%,N59,TANJONG BATU (P191),state,Sabah
59,"7,614",193,109,0,"5,394 (70.8%)",Muslim bumiputra 88.65%; Non-Muslim bumiputra 5.91%; Chinese 4.89%; Others 0.55%,N60,SEBATIK (P191),state,Sabah
