,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab
46,"43,373","9,178",350,0,"35,883 (82.7%)",Malay 56.59%; Chinese 33.05%; Indian 9.22%; B/P Sabah 0.24%; B/P Sarawak 0.36%; Others 0.53%,N47,KEMPAS (P161),state
47,"70,928","35,126",726,0,"60,440 (85.2%)",Malay 22.59%; Chinese 64.32%; Indian 12.23%; B/P Sabah 0.19%; B/P Sarawak 0.35%; Orang Asli (Pen. Msia) 0.01%; Others 0.31%,N48,SKUDAI (P162),state
48,"67,371","14,543",920,0,"58,335 (86.6%)",Malay 51.46%; Chinese 34.5%; Indian 12.69%; B/P Sabah 0.22%; B/P Sarawak 0.29%; Orang Asli (Pen. Msia) 0.44%; Others 0.41%,N49,KOTA ISKANDAR (P162),state
49,"24,275","2,531",278,0,"21,178 (87.2%)",Malay 53.15%; Chinese 33.99%; Indian 12.17%; B/P Sabah 0.11%; B/P Sarawak 0.13%; Orang Asli (Pen. Msia) 0.01%; Others 0.44%,N50,BUKIT PERMAI (P163),state
50,"30,216","10,057",306,0,"26,400 (87.4%)",Malay 34.21%; Chinese 57.99%; Indian 7.19%; B/P Sabah 0.09%; B/P Sarawak 0.14%; Orang Asli (Pen. Msia) 0.02%; Others 0.36%,N51,BUKIT BATU (P163),state
51,"44,656","18,902",483,0,"38,225 (85.6%)",Malay 25.57%; Chinese 62.27%; Indian 11.27%; B/P Sabah 0.33%; B/P Sarawak 0.24%; Orang Asli (Pen. Msia) 0.01%; Others 0.3%,N52,SENAI (P163),state
52,"20,894","4,447",358,0,"17,750 (85%)",Malay 81.63%; Chinese 17.63%; Indian 0.17%; B/P Sabah 0.03%; B/P Sarawak 0.02%; Orang Asli (Pen. Msia) 0.13%; Others 0.39%,N53,BENUT (P164),state
53,"34,676","3,395",376,0,0 (0%),Malay 60.17%; Chinese 37.62%; Indian 1.55%; B/P Sabah 0.06%; B/P Sarawak 0.08%; Orang Asli (Pen. Msia) 0.03%; Others 0.5%,N54,PULAI SEBATANG (P164),state
54,"26,608","1,308",554,0,"22,997 (86.4%)",Malay 53.36%; Chinese 45.11%; Indian 1.02%; B/P Sabah 0.06%; B/P Sarawak 0.09%; Orang Asli (Pen. Msia) 0.01%; Others 0.35%,N55,PEKAN NANAS (P165),state
55,"26,920",862,422,0,"22,863 (84.9%)",Malay 60.2%; Chinese 38.21%; Indian 0.99%; B/P Sabah 0.11%; B/P Sarawak 0.08%; Orang Asli (Pen. Msia) 0.01%; Others 0.4%,N56,KUKUP (P165),state
