,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab,state_region
10,"23,248",587,295,0,"18,679 (80.3%)",Malay 98.77%; Chinese 0.1%; Indian 0.74%; B/P Sabah 0.02%; B/P Sarawak 0.02%; Orang Asli (Pen. Msia) 0.23%; Others 0.12%,N11,PULAU TAWAR (P81),state,Pahang
11,"38,721","1,305",331,0,"32,384 (83.6%)",Malay 73.55%; Chinese 22.86%; Indian 2.63%; B/P Sabah 0.39%; B/P Sarawak 0.19%; Orang Asli (Pen. Msia) 0.03%; Others 0.35%,N12,BESERAH (P82),state,Pahang
12,"38,487","5,511",307,0,"32,215 (83.7%)",Malay 59.65%; Chinese 30.96%; Indian 8.75%; B/P Sabah 0.15%; B/P Sarawak 0.12%; Orang Asli (Pen. Msia) 0.05%; Others 0.32%,N13,SEMAMBU (P82),state,Pahang
13,"24,746","7,725",163,0,"20,207 (81.7%)",Malay 37.57%; Chinese 56.24%; Indian 5.55%; B/P Sabah 0.2%; B/P Sarawak 0.16%; Orang Asli (Pen. Msia) 0.02%; Others 0.27%,N14,TERUNTUM (P83),state,Pahang
14,"25,120","1,339",316,0,"21,097 (84%)",Malay 81.14%; Chinese 15.98%; Indian 2.37%; B/P Sabah 0.06%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.06%; Others 0.33%,N15,TANJUNG LUMPUR (P83),state,Pahang
15,"12,830","2,165",225,0,"11,053 (86.1%)",Malay 93.11%; Chinese 4.78%; Indian 0.97%; B/P Sabah 0.05%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 0.66%; Others 0.41%,N16,INDERAPURA (P83),state,Pahang
16,"14,729","1,968",181,0,"11,842 (80.4%)",Malay 84.98%; Chinese 12.14%; Indian 0.28%; B/P Sabah 0.03%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 2.35%; Others 0.18%,N17,SUNGAI LEMBING (P84),state,Pahang
17,"17,582","2,779",238,0,"14,063 (80%)",Malay 79.22%; Chinese 15.85%; Indian 2.3%; B/P Sabah 0.06%; B/P Sarawak 0.07%; Orang Asli (Pen. Msia) 2.34%; Others 0.15%,N18,LEPAR (P84),state,Pahang
18,"22,824",135,255,0,"19,041 (83.4%)",Malay 85.52%; Chinese 11.01%; Indian 2.73%; B/P Sabah 0.07%; B/P Sarawak 0.07%; Orang Asli (Pen. Msia) 0.07%; Others 0.54%,N19,PANCHING (P84),state,Pahang
19,"20,389","2,334",309,0,"16,709 (82%)",Malay 91.76%; Chinese 2.65%; Indian 0.68%; B/P Sabah 0.78%; B/P Sarawak 1.87%; Orang Asli (Pen. Msia) 1.59%; Others 0.67%,N20,PULAU MANIS (P85),state,Pahang
20,"32,291","7,182",403,0,"26,834 (83.1%)",Malay 92.4%; Chinese 3.25%; Indian 1.2%; B/P Sabah 0.1%; B/P Sarawak 0.07%; Orang Asli (Pen. Msia) 1.96%; Others 1.02%,N21,PERAMU JAYA (P85),state,Pahang
21,"14,968","5,720",329,0,"11,970 (80%)",Malay 68.71%; Chinese 0.92%; Indian 1.2%; B/P Sabah 0.04%; B/P Sarawak 0.1%; Orang Asli (Pen. Msia) 27.57%; Others 1.48%,N22,BEBAR (P85),state,Pahang
22,"21,251","4,622",232,0,"16,798 (79%)",Malay 90.43%; Chinese 0.26%; Indian 0.1%; B/P Sabah 0.04%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 8.97%; Others 0.17%,N23,CHINI (P85),state,Pahang
23,"12,284",272,157,0,"9,975 (81.2%)",Malay 81.84%; Chinese 13.37%; Indian 1.42%; B/P Sabah 0.07%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 2.78%; Others 0.46%,N24,LUIT (P86),state,Pahang
24,"13,360","2,039",178,0,"10,564 (79.1%)",Malay 90.1%; Chinese 5.91%; Indian 2.14%; B/P Sabah 0.03%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 1.62%; Others 0.16%,N25,KUALA SENTUL (P86),state,Pahang
25,"15,392",514,199,0,"12,823 (83.3%)",Malay 96.84%; Chinese 0.62%; Indian 0.88%; B/P Sabah 0.05%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 1.25%; Others 0.31%,N26,CHENOR (P86),state,Pahang
26,"10,569","1,713",234,0,"8,610 (81.5%)",Malay 70.24%; Chinese 7.65%; Indian 4.26%; B/P Sabah 0.05%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 17.5%; Others 0.24%,N27,JENDERAK (P87),state,Pahang
27,"11,974","1,934",148,0,"10,058 (84%)",Malay 89.6%; Chinese 3.88%; Indian 2.67%; B/P Sabah 0.03%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 3.41%; Others 0.36%,N28,KERDAU (P87),state,Pahang
28,"24,721","1,813",230,0,"20,443 (82.7%)",Malay 98.37%; Chinese 0.15%; Indian 1.26%; B/P Sabah 0.05%; B/P Sarawak 0.04%; Others 0.13%,N29,JENGKA (P87),state,Pahang
29,"25,431","5,829",250,0,"21,118 (83%)",Malay 43.86%; Chinese 43.98%; Indian 11.14%; B/P Sabah 0.11%; B/P Sarawak 0.11%; Orang Asli (Pen. Msia) 0.02%; Others 0.78%,N30,MENTAKAB (P88),state,Pahang
30,"23,706","3,725",428,0,"19,348 (81.6%)",Malay 75.55%; Chinese 8.42%; Indian 11.3%; B/P Sabah 0.46%; B/P Sarawak 1.31%; Orang Asli (Pen. Msia) 2.41%; Others 0.56%,N31,LANCHANG (P88),state,Pahang
31,"25,944",474,246,0,"21,742 (83.8%)",Malay 80.35%; Chinese 14.38%; Indian 2.22%; B/P Sabah 0.3%; B/P Sarawak 0.47%; Orang Asli (Pen. Msia) 1.38%; Others 0.89%,N32,KUALA SEMANTAN (P88),state,Pahang
32,"19,101","3,739",201,0,"16,049 (84%)",Malay 34.24%; Chinese 55.79%; Indian 9.04%; B/P Sabah 0.07%; B/P Sarawak 0.12%; Orang Asli (Pen. Msia) 0.47%; Others 0.27%,N33,BILUT (P89),state,Pahang
33,"23,506","3,710",236,0,"19,706 (83.8%)",Malay 47.7%; Chinese 44.55%; Indian 4.62%; B/P Sabah 0.16%; B/P Sarawak 0.35%; Orang Asli (Pen. Msia) 2.21%; Others 0.4%,N34,KETARI (P89),state,Pahang
34,"11,971",495,166,0,"9,891 (82.6%)",Malay 37.78%; Chinese 36.61%; Indian 21.35%; B/P Sabah 0.05%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 3.88%; Others 0.29%,N35,SABAI (P89),state,Pahang
35,"12,781","2,312",158,0,"10,542 (82.5%)",Malay 70.76%; Chinese 20.12%; Indian 6.25%; B/P Sabah 0.02%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 2.6%; Others 0.2%,N36,PELANGAI (P89),state,Pahang
36,"19,353","3,295",269,0,"15,904 (82.2%)",Malay 86.66%; Chinese 6.98%; Indian 2.14%; B/P Sabah 0.1%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 3.89%; Others 0.18%,N37,GUAI (P90),state,Pahang
37,"20,083","6,454",369,0,"16,414 (81.7%)",Malay 27.98%; Chinese 66.48%; Indian 4.53%; B/P Sabah 0.06%; B/P Sarawak 0.1%; Orang Asli (Pen. Msia) 0.62%; Others 0.22%,N38,TRIANG (P90),state,Pahang
38,"19,275","4,618",387,0,"15,978 (82.9%)",Malay 72.34%; Chinese 12.56%; Indian 4.42%; B/P Sabah 0.44%; B/P Sarawak 0.38%; Orang Asli (Pen. Msia) 9.42%; Others 0.44%,N39,KEMAYAN (P90),state,Pahang
39,"22,806","2,478",310,0,"18,944 (83.1%)",Malay 90.61%; Chinese 0.38%; Indian 1.1%; B/P Sabah 0.12%; B/P Sarawak 0.07%; Orang Asli (Pen. Msia) 7.41%; Others 0.31%,N40,BUKIT IBAM (P91),state,Pahang
40,"20,206","4,840",338,0,"16,521 (81.8%)",Malay 86.18%; Chinese 0.77%; Indian 1.47%; B/P Sabah 0.04%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 11.04%; Others 0.44%,N41,MUADZAM SHAH (P91),state,Pahang
41,"18,906","1,280",229,0,"15,442 (81.7%)",Malay 85.86%; Chinese 6.29%; Indian 0.45%; B/P Sabah 0.08%; B/P Sarawak 0.06%; Orang Asli (Pen. Msia) 6.94%; Others 0.32%,N42,TIOMAN (P91),state,Pahang
