,registered_voters,majority,spoilt_votes,unreturned_votes,voter_turnout,demographics,panel_code,panel_name,tab
19,"26,666","2,348",353,0,"23,217 (87.1%)",Malay 61.06%; Chinese 22.18%; Indian 16.42%; B/P Sabah 0.07%; B/P Sarawak 0.05%; Others 0.22%,N20,SUNGAI BAKAP (P47),state
20,"20,018",416,221,0,"17,205 (85.9%)",Malay 67.52%; Chinese 24.95%; Indian 7.14%; B/P Sabah 0.06%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 0.02%; Others 0.27%,N21,SUNGAI ACHEH (P47),state
21,"21,768","9,343",163,0,"17,571 (80.7%)",Malay 26.34%; Chinese 60.33%; Indian 11.57%; B/P Sabah 0.11%; B/P Sarawak 0.11%; Orang Asli (Pen. Msia) 0.01%; Others 1.53%,N22,TANJONG BUNGA (P48),state
22,"13,509","7,958",88,0,"11,072 (82%)",Malay 9.88%; Chinese 80.83%; Indian 8.77%; B/P Sabah 0.07%; B/P Sarawak 0.07%; Others 0.36%,N23,AIR PUTIH (P48),state
23,"21,369","12,597",165,0,"17,422 (81.5%)",Malay 7.09%; Chinese 77.05%; Indian 15.09%; B/P Sarawak 0.01%; Others 0.75%,N24,KEBUN BUNGA (P48),state
24,"18,423","9,245",138,0,"14,379 (78%)",Malay 13.12%; Chinese 76.82%; Indian 8.39%; B/P Sabah 0.18%; B/P Sarawak 0.17%; Others 1.32%,N25,PULAU TIKUS (P48),state
25,"14,476","7,808",130,0,"10,961 (75.7%)",Malay 7.28%; Chinese 75.97%; Indian 16.19%; B/P Sabah 0.03%; B/P Sarawak 0.01%; Others 0.52%,N26,PADANG KOTA (P49),state
26,"20,069","13,390",166,0,"17,112 (85.3%)",Malay 1.69%; Chinese 92.12%; Indian 6.01%; B/P Sabah 0.02%; Others 0.15%,N27,PENGKALAN KOTA (P49),state
27,"15,041","8,363",98,0,"12,059 (80.2%)",Malay 10.17%; Chinese 81.45%; Indian 7.88%; B/P Sabah 0.08%; B/P Sarawak 0.09%; Others 0.34%,N28,KOMTAR (P49),state
28,"22,630","9,561",216,0,"18,504 (81.8%)",Malay 28.83%; Chinese 56.53%; Indian 14.11%; B/P Sabah 0.09%; B/P Sarawak 0.09%; Others 0.35%,N29,DATOK KERAMAT (P50),state
29,"26,917","10,388",291,0,"22,704 (84.3%)",Malay 33.19%; Chinese 51.56%; Indian 14.75%; B/P Sabah 0.07%; B/P Sarawak 0.01%; Others 0.41%,N30,SUNGAI PINANG (P50),state
30,"27,444","18,208",161,0,"23,370 (85.2%)",Malay 7.12%; Chinese 85.77%; Indian 6.64%; B/P Sabah 0.03%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 0.01%; Others 0.42%,N31,BATU LANCANG (P50),state
31,"25,232","13,211",141,0,"20,285 (80.4%)",Malay 22.31%; Chinese 65.54%; Indian 11.39%; B/P Sabah 0.02%; B/P Sarawak 0.04%; Others 0.71%,N32,SERI DELIMA (P51),state
32,"19,622","9,541",151,0,"15,988 (81.5%)",Malay 22.68%; Chinese 66.99%; Indian 9.9%; B/P Sabah 0.04%; B/P Sarawak 0.04%; Others 0.37%,N33,AIR ITAM (P51),state
33,"46,741","31,189",235,0,"40,185 (86%)",Malay 6.51%; Chinese 81.24%; Indian 11.78%; B/P Sabah 0.09%; B/P Sarawak 0.04%; Others 0.34%,N34,PAYA TERUBONG (P51),state
34,"31,924","17,273",235,0,"26,523 (83.1%)",Malay 25.57%; Chinese 60.42%; Indian 13.25%; B/P Sabah 0.16%; B/P Sarawak 0.09%; Others 0.51%,N35,BATU UBAN (P52),state
35,"23,646","10,716",150,0,"19,315 (81.7%)",Malay 37.25%; Chinese 50.33%; Indian 11.64%; B/P Sabah 0.12%; B/P Sarawak 0.04%; Others 0.61%,N36,PANTAI JEREJAK (P52),state
36,"35,210","8,317",352,0,"30,046 (85.3%)",Malay 53.91%; Chinese 36.49%; Indian 8.58%; B/P Sabah 0.28%; B/P Sarawak 0.36%; Orang Asli (Pen. Msia) 0.01%; Others 0.38%,N37,BATU MAUNG (P52),state
37,"26,570","5,245",275,0,"22,618 (85.1%)",Malay 64.41%; Chinese 29.81%; Indian 5.29%; B/P Sabah 0.13%; B/P Sarawak 0.06%; Others 0.3%,N38,BAYAN LEPAS (P53),state
38,"18,177","1,596",220,0,"15,719 (86.5%)",Malay 64.79%; Chinese 30.53%; Indian 4.02%; B/P Sabah 0.24%; B/P Sarawak 0.2%; Orang Asli (Pen. Msia) 0.01%; Others 0.21%,N39,PULAU BETONG (P53),state
39,"14,339",425,179,0,"12,231 (85.3%)",Malay 65.94%; Chinese 30.32%; Indian 3.35%; B/P Sabah 0.05%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.01%; Others 0.28%,N40,TELOK BAHANG (P53),state
